epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,4619.35,0.95789,0.65297,0.91127,0.88454,0.92644,0.94469,0.73044,0.81739,0.50177,0.87796,0.000183523,0.000183523,0.000183523
147,4650.85,0.95861,0.64698,0.90419,0.89913,0.91407,0.94401,0.71749,0.81955,0.50528,0.87815,0.000177651,0.000177651,0.000177651
148,4682.45,0.95692,0.63849,0.9102,0.91053,0.90791,0.94524,0.72148,0.81773,0.51206,0.87685,0.000171859,0.000171859,0.000171859
149,4713.97,0.95711,0.65292,0.91091,0.90356,0.91608,0.94944,0.72498,0.8157,0.506,0.87708,0.000166149,0.000166149,0.000166149
150,4745.48,0.9656,0.66062,0.91356,0.90409,0.90526,0.94584,0.72621,0.81054,0.50923,0.87586,0.000160523,0.000160523,0.000160523
151,4777,0.94761,0.64653,0.90892,0.90297,0.90948,0.94593,0.72698,0.81509,0.50432,0.87621,0.000154982,0.000154982,0.000154982
152,4808.72,0.94991,0.64169,0.90242,0.89961,0.92029,0.94675,0.7273,0.81247,0.50398,0.87672,0.000149527,0.000149527,0.000149527
153,4840.35,0.95869,0.65168,0.9066,0.89983,0.91696,0.94436,0.72584,0.81826,0.50187,0.87692,0.000144161,0.000144161,0.000144161
154,4871.91,0.95332,0.65087,0.90704,0.91286,0.89919,0.9455,0.72371,0.81256,0.5028,0.87656,0.000138883,0.000138883,0.000138883
155,4903.45,0.94694,0.64139,0.91069,0.91013,0.90987,0.9471,0.73103,0.8113,0.49991,0.87513,0.000133695,0.000133695,0.000133695
156,4935.17,0.94881,0.6327,0.90537,0.90882,0.91692,0.94868,0.73358,0.81334,0.50179,0.87559,0.000128599,0.000128599,0.000128599
157,4966.95,0.97147,0.65204,0.91472,0.92102,0.90231,0.9483,0.733,0.81617,0.50367,0.87727,0.000123596,0.000123596,0.000123596
158,4998.6,0.95341,0.64093,0.91133,0.91135,0.90739,0.94602,0.72867,0.82041,0.50654,0.87852,0.000118687,0.000118687,0.000118687
159,5030.17,0.94964,0.64792,0.91045,0.90816,0.91162,0.94748,0.73049,0.8176,0.49894,0.87717,0.000113873,0.000113873,0.000113873
160,5061.7,0.95292,0.62763,0.90692,0.91306,0.91463,0.94668,0.7356,0.80974,0.4984,0.87541,0.000109156,0.000109156,0.000109156
161,5093.32,0.94555,0.6314,0.90194,0.90177,0.91548,0.94779,0.73797,0.80939,0.49969,0.87508,0.000104537,0.000104537,0.000104537
162,5124.82,0.94185,0.62893,0.9061,0.91426,0.90453,0.94777,0.73231,0.81299,0.49861,0.87591,0.000100016,0.000100016,0.000100016
163,5156.4,0.93856,0.62443,0.89743,0.92078,0.90537,0.94893,0.73013,0.81626,0.50347,0.87644,9.55951e-05,9.55951e-05,9.55951e-05
164,5188,0.93519,0.61973,0.90561,0.91866,0.90412,0.94841,0.73538,0.81242,0.49756,0.8755,9.12754e-05,9.12754e-05,9.12754e-05
165,5219.63,0.94219,0.61945,0.90434,0.91282,0.898,0.94622,0.73152,0.81498,0.49938,0.87573,8.70577e-05,8.70577e-05,8.70577e-05
166,5251.36,0.92863,0.61622,0.90206,0.90916,0.9057,0.94678,0.73535,0.81332,0.49887,0.87554,8.29431e-05,8.29431e-05,8.29431e-05
167,5283.13,0.93236,0.62548,0.90291,0.90966,0.90888,0.94614,0.72952,0.81657,0.50138,0.87679,7.89327e-05,7.89327e-05,7.89327e-05
168,5314.81,0.9259,0.62506,0.90098,0.91302,0.91412,0.94842,0.73165,0.8128,0.50013,0.87634,7.50274e-05,7.50274e-05,7.50274e-05
169,5346.64,0.93122,0.63116,0.90697,0.91566,0.91129,0.94794,0.72796,0.81549,0.4968,0.87661,7.12282e-05,7.12282e-05,7.12282e-05
170,5378.21,0.93135,0.62422,0.8978,0.91137,0.91282,0.94947,0.73357,0.81262,0.49454,0.8766,6.7536e-05,6.7536e-05,6.7536e-05
171,5410.01,0.92964,0.62399,0.90328,0.91138,0.91531,0.94894,0.73251,0.813,0.4931,0.87606,6.39518e-05,6.39518e-05,6.39518e-05
172,5441.83,0.93492,0.62796,0.89865,0.91074,0.91897,0.94791,0.72975,0.81338,0.49607,0.87585,6.04763e-05,6.04763e-05,6.04763e-05
